2026-01-26 16:29:03,556 - Experiment Config: {'model': 'dinov2_vitb_multi_input', 'data_path': '/mnt/nvme1n1/lululemon/xjj/datasets/resized/gazefollow_extended', 'ckpt_save_dir': './experiments', 'wandb_project': 'dinov2_vitb_multi_input', 'exp_name': 'dinov2_vitb_multi_input', 'log_iter': 10, 'max_epochs': 15, 'batch_size': 60, 'lr': 0.001, 'n_workers': 8}
2026-01-26 16:31:19,539 - Learnable parameters: 6947808
2026-01-26 16:31:27,053 - 
[Epoch 0 Training]
2026-01-26 16:31:31,704 - Iter 0/1891, Loss=0.6713, Loss=0.6713
2026-01-26 16:31:36,169 - Iter 10/1891, Loss=0.0735, Loss=0.0735
2026-01-26 16:31:40,261 - Iter 20/1891, Loss=0.0681, Loss=0.0681
2026-01-26 16:31:44,732 - Iter 30/1891, Loss=0.0654, Loss=0.0654
2026-01-26 16:31:49,668 - Iter 40/1891, Loss=0.0587, Loss=0.0587
2026-01-26 16:31:53,756 - Iter 50/1891, Loss=0.0604, Loss=0.0604
2026-01-26 16:31:58,252 - Iter 60/1891, Loss=0.0582, Loss=0.0582
2026-01-26 16:32:02,282 - Iter 70/1891, Loss=0.0601, Loss=0.0601
2026-01-26 16:32:06,500 - Iter 80/1891, Loss=0.0563, Loss=0.0563
2026-01-26 16:32:11,903 - Iter 90/1891, Loss=0.0605, Loss=0.0605
2026-01-26 16:32:18,077 - Iter 100/1891, Loss=0.0578, Loss=0.0578
2026-01-26 16:32:24,438 - Iter 110/1891, Loss=0.0575, Loss=0.0575
2026-01-26 16:32:30,865 - Iter 120/1891, Loss=0.0546, Loss=0.0546
2026-01-26 16:32:36,766 - Iter 130/1891, Loss=0.0562, Loss=0.0562
2026-01-26 16:32:43,046 - Iter 140/1891, Loss=0.0568, Loss=0.0568
2026-01-26 16:32:48,954 - Iter 150/1891, Loss=0.0591, Loss=0.0591
2026-01-26 16:32:55,176 - Iter 160/1891, Loss=0.0537, Loss=0.0537
2026-01-26 16:33:01,434 - Iter 170/1891, Loss=0.0571, Loss=0.0571
2026-01-26 16:33:07,481 - Iter 180/1891, Loss=0.0551, Loss=0.0551
2026-01-26 16:33:13,608 - Iter 190/1891, Loss=0.0558, Loss=0.0558
2026-01-26 16:33:19,769 - Iter 200/1891, Loss=0.0562, Loss=0.0562
2026-01-26 16:33:26,164 - Iter 210/1891, Loss=0.0563, Loss=0.0563
2026-01-26 16:33:32,499 - Iter 220/1891, Loss=0.0562, Loss=0.0562
2026-01-26 16:33:38,837 - Iter 230/1891, Loss=0.0537, Loss=0.0537
